Company Name,Symbol,ISIN Code,Macro Sector,Sector,Industry,Basic Industry,Category,Justification,Notes
Bajaj Auto Ltd.,BAJAJ-AUTO,INE917I01010,Consumer Discretionary,Automobile and Auto Components,Automobiles,2/3 Wheelers,Green,"Manufactures motorcycles, scooters and three-wheelers with vinyl/PU seat upholstery as standard; genuine leather is not a material product or cost input. Animal linkage is incidental.",
Eicher Motors Ltd.,EICHERMOT,INE066A01021,Consumer Discretionary,Automobile and Auto Components,Automobiles,2/3 Wheelers,Orange,"Manufactures Royal Enfield motorcycles and, through VECV, commercial vehicles. Motorcycle seats are synthetic as standard, but Royal Enfield directly designs and retails a branded line of genuine-leather riding jackets, gloves and accessories within an allied business (spares, service, accessories and apparel) of Rs 3,351 crore in FY26. A deliberate product line of animal material rather than an incidental input places it in Orange under Section 4 and Section 7, even though leather is well under 2% of group revenue.",
Hero MotoCorp Ltd.,HEROMOTOCO,INE158A01026,Consumer Discretionary,Automobile and Auto Components,Automobiles,2/3 Wheelers,Green,"World's largest two-wheeler maker; motorcycle/scooter seats are vinyl/PU as standard, with no genuine leather as a material input. Animal linkage incidental.",
TVS Motor Company Ltd.,TVSMOTOR,INE494B01023,Consumer Discretionary,Automobile and Auto Components,Automobiles,2/3 Wheelers,Green,"Manufactures two- and three-wheelers with standard vinyl/PU upholstery; no material animal-derived input. (TVS Holdings is a separate listed entity, treated under holding-company logic.)",
Carborundum Universal Ltd.,CARBORUNIV,INE120A01034,Industrials,Capital Goods,Industrial Products,Abrasives & Bearings,Green,"Manufactures abrasives, industrial ceramics, refractories and electrominerals (silicon carbide, aluminium oxide) - inorganic mineral products. Lubricants and cutting fluids are mineral/synthetic operational consumables (not a product, not animal-specific), and any trace animal-derived additive would be a non-material process aid - not a basis for escalation, consistent with paints and auto components. So Green.",
Grindwell Norton Ltd.,GRINDWELL,INE536A01023,Industrials,Capital Goods,Industrial Products,Abrasives & Bearings,Green,"Manufactures abrasives, silicon carbide, industrial ceramics and performance plastics - inorganic/synthetic products; the lubricant/cutting-fluid basis is a non-material operational input, so Green.",
SKF India Ltd.,SKFINDIA,INE640A01023,Industrials,Capital Goods,Industrial Products,Abrasives & Bearings,Green,"Manufactures steel ball and roller bearings, seals and lubrication systems - metal engineering products; the lubricant/cutting-fluid basis is a non-material operational input, so Green.",
Timken India Ltd.,TIMKEN,INE325A01013,Industrials,Capital Goods,Industrial Products,Abrasives & Bearings,Green,"Manufactures tapered roller and other steel bearings - metal engineering products; the lubricant/cutting-fluid basis is a non-material operational input, so Green.",
Astra Microwave Products Ltd.,ASTRAMICRO,INE386C01029,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defence,Red,"Designs and manufactures radio-frequency and microwave subsystems for radar, electronic warfare, missile seekers and military communications, supplied to DRDO, BEL and the armed forces. Defence is its dominant end-market. Weapons and military platforms are a harmful-product category under Section 8, so Red.",
Bharat Dynamics Ltd.,BDL,INE171Z01026,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defence,Red,"State-owned manufacturer of guided missiles, torpedoes and airborne launchers - Akash, Astra, Konkurs and MILAN anti-tank systems - for the Indian armed forces. Munitions are its core product. Weapons and military platforms are a harmful-product category under Section 8, so Red.",
